2026-04-01T01:59:12-04:00 better-hook 10ms exit=0
2026-04-01T01:59:12-04:00 masonry-subagent-tracker 31ms exit=0
2026-04-01T01:59:15-04:00 masonry-approver 32ms exit=0
2026-04-01T01:59:15-04:00 masonry-block-no-verify 36ms exit=0
2026-04-01T01:59:15-04:00 better-hook 44ms exit=0
2026-04-01T01:59:15-04:00 better-hook 26ms exit=0
2026-04-01T01:59:15-04:00 masonry-block-no-verify 28ms exit=0
2026-04-01T01:59:15-04:00 masonry-approver 30ms exit=0
2026-04-01T01:59:21-04:00 masonry-block-no-verify 32ms exit=0
2026-04-01T01:59:21-04:00 better-hook 38ms exit=0
2026-04-01T01:59:21-04:00 better-hook 19ms exit=0
2026-04-01T01:59:21-04:00 masonry-approver 31ms exit=0
2026-04-01T01:59:21-04:00 masonry-block-no-verify 27ms exit=0
2026-04-01T01:59:21-04:00 masonry-approver 26ms exit=0
2026-04-01T01:59:29-04:00 better-hook 16ms exit=0
2026-04-01T01:59:29-04:00 better-hook 23ms exit=0
2026-04-01T01:59:29-04:00 masonry-block-no-verify 28ms exit=0
2026-04-01T01:59:29-04:00 masonry-approver 36ms exit=0
2026-04-01T01:59:35-04:00 better-hook 18ms exit=0
2026-04-01T01:59:35-04:00 better-hook 23ms exit=0
2026-04-01T01:59:35-04:00 masonry-block-no-verify 27ms exit=0
2026-04-01T01:59:35-04:00 masonry-approver 38ms exit=0
2026-04-01T01:59:46-04:00 better-hook 25ms exit=0
2026-04-01T01:59:46-04:00 better-hook 17ms exit=0
2026-04-01T01:59:46-04:00 masonry-block-no-verify 25ms exit=0
2026-04-01T01:59:46-04:00 masonry-approver 43ms exit=0
2026-04-01T02:00:33-04:00 better-hook 25ms exit=0
2026-04-01T02:00:33-04:00 masonry-register 38ms exit=0
2026-04-01T02:00:33-04:00 masonry-prompt-inject 57ms exit=0
2026-04-01T02:00:35-04:00 masonry-prompt-router 2045ms exit=0
[SLOW HOOK] masonry-prompt-router: 2045ms
2026-04-01T02:00:37-04:00 recall-retrieve 3353ms exit=0
[SLOW HOOK] recall-retrieve: 3353ms
2026-04-01T02:00:44-04:00 better-hook 18ms exit=0
2026-04-01T02:00:44-04:00 masonry-block-no-verify 27ms exit=0
2026-04-01T02:00:44-04:00 masonry-approver 28ms exit=0
2026-04-01T02:00:44-04:00 better-hook 12ms exit=0
2026-04-01T02:00:44-04:00 masonry-block-no-verify 25ms exit=0
2026-04-01T02:00:44-04:00 masonry-approver 27ms exit=0
2026-04-01T02:00:55-04:00 better-hook 14ms exit=0
2026-04-01T02:00:55-04:00 masonry-block-no-verify 31ms exit=0
2026-04-01T02:00:55-04:00 masonry-approver 32ms exit=0
2026-04-01T02:01:00-04:00 better-hook 30ms exit=0
2026-04-01T02:01:00-04:00 better-hook 24ms exit=0
2026-04-01T02:01:00-04:00 masonry-block-no-verify 24ms exit=0
2026-04-01T02:01:00-04:00 masonry-approver 70ms exit=0
2026-04-01T02:01:00-04:00 better-hook 17ms exit=0
2026-04-01T02:01:00-04:00 masonry-block-no-verify 28ms exit=0
2026-04-01T02:01:00-04:00 masonry-approver 34ms exit=0
2026-04-01T02:01:06-04:00 better-hook 13ms exit=0
2026-04-01T02:01:06-04:00 masonry-block-no-verify 27ms exit=0
2026-04-01T02:01:06-04:00 masonry-approver 29ms exit=0
2026-04-01T02:01:08-04:00 masonry-block-no-verify 37ms exit=0
2026-04-01T02:01:08-04:00 better-hook 44ms exit=0
2026-04-01T02:01:08-04:00 better-hook 23ms exit=0
2026-04-01T02:01:08-04:00 masonry-block-no-verify 36ms exit=0
2026-04-01T02:01:08-04:00 masonry-approver 71ms exit=0
2026-04-01T02:01:08-04:00 masonry-approver 70ms exit=0
2026-04-01T02:01:12-04:00 better-hook 12ms exit=0
2026-04-01T02:01:12-04:00 masonry-block-no-verify 28ms exit=0
2026-04-01T02:01:12-04:00 masonry-approver 33ms exit=0
2026-04-01T02:01:17-04:00 better-hook 11ms exit=0
2026-04-01T02:01:17-04:00 masonry-block-no-verify 28ms exit=0
2026-04-01T02:01:17-04:00 masonry-approver 33ms exit=0
2026-04-01T02:01:29-04:00 better-hook 17ms exit=0
2026-04-01T02:01:29-04:00 masonry-block-no-verify 34ms exit=0
2026-04-01T02:01:29-04:00 masonry-approver 36ms exit=0
2026-04-01T02:01:34-04:00 better-hook 12ms exit=0
2026-04-01T02:01:34-04:00 masonry-block-no-verify 27ms exit=0
2026-04-01T02:01:34-04:00 masonry-approver 32ms exit=0
2026-04-01T02:01:41-04:00 masonry-build-guard 23ms exit=0
2026-04-01T02:01:42-04:00 masonry-session-summary 37ms exit=0
2026-04-01T02:01:39-04:00 better-hook -2559ms exit=0
2026-04-01T02:01:39-04:00 masonry-ema-collector -2578ms exit=0
2026-04-01T02:01:39-04:00 masonry-pagerank-trigger -2599ms exit=0
2026-04-01T02:01:39-04:00 masonry-system-status -2638ms exit=0
2026-04-01T02:01:39-04:00 masonry-score-trigger -2610ms exit=0
2026-04-01T02:01:39-04:00 masonry-handoff -2587ms exit=0
2026-04-01T02:01:39-04:00 masonry-training-export -2632ms exit=0
2026-04-01T02:01:39-04:00 masonry-stop-guard -2593ms exit=0
2026-04-01T02:01:39-04:00 masonry-context-monitor -2148ms exit=0
2026-04-01T02:01:40-04:00 recall-session-summary -1632ms exit=0
2026-04-01T02:01:41-04:00 masonry-agent-complete 33ms exit=0
2026-04-01T02:01:41-04:00 session-save 2038ms exit=0
[SLOW HOOK] session-save: 2038ms
2026-04-01T02:02:08-04:00 better-hook 24ms exit=0
2026-04-01T02:02:08-04:00 masonry-block-no-verify 30ms exit=0
2026-04-01T02:02:08-04:00 masonry-approver 90ms exit=0
2026-04-01T02:02:08-04:00 better-hook 22ms exit=0
2026-04-01T02:02:08-04:00 masonry-block-no-verify 26ms exit=0
2026-04-01T02:02:08-04:00 masonry-approver 37ms exit=0
2026-04-01T02:02:17-04:00 masonry-session-end 127ms exit=0
2026-04-01T02:02:18-04:00 better-hook 871ms exit=0
2026-04-01T02:02:18-04:00 masonry-register 687ms exit=1
2026-04-01T02:02:18-04:00 masonry-prompt-inject 822ms exit=0
2026-04-01T02:02:19-04:00 recall-retrieve 1290ms exit=1
2026-04-01T02:02:20-04:00 masonry-prompt-router 2383ms exit=0
[SLOW HOOK] masonry-prompt-router: 2383ms
2026-04-01T02:02:40-04:00 better-hook 23ms exit=0
2026-04-01T02:02:40-04:00 masonry-block-no-verify 25ms exit=0
2026-04-01T02:02:40-04:00 masonry-approver 40ms exit=0
2026-04-01T02:02:49-04:00 better-hook 11ms exit=0
2026-04-01T02:03:08-04:00 better-hook 12ms exit=0
2026-04-01T02:03:27-04:00 better-hook 12ms exit=0
2026-04-01T02:03:33-04:00 better-hook 11ms exit=0
2026-04-01T02:03:38-04:00 better-hook 18ms exit=0
2026-04-01T02:03:38-04:00 better-hook 9ms exit=0
2026-04-01T02:03:38-04:00 better-hook 29ms exit=0
2026-04-01T02:03:39-04:00 masonry-session-end 23ms exit=0
